X,Y,AGENCY_NAM,AGENCY_N_1,ADDRESS,PROGRAM
-77.0132599,38.8282308,Leckie Elementary School,,4201 M.L. King Ave. SW,Direct Distributions
-76.99454,38.827499,Park Southern Apartments,,"800 Southern Ave, SE",Direct Distributions
-77.21298359,38.8267367,Annandale Spanish SDA Church,,7901 Heritage Dr.,Shopping
-77.4397538,38.82564,Centreville UMC,,6400 Old Centreville Rd,Shopping
-76.99613289,38.8261003,Temple of Praise,,700 Southern Avenue SE,Shopping
-77.00022219,38.8254087,City Gate: Atlantic Gardens Merrick Center,,4275 4th St SE,Direct Distributions
-77.59370599,38.822624,Outside The Walls Ministry,,13422 Brogue Ct,Shopping
-77.05837409,38.8228806,Salvation Army,,1804 Mount Vernon Ave.,Direct Distributions
-76.94003499,38.8228029,The True Vine Center,Reaching The World Ministries,4880 Stamp Road,Shopping & Direct Distribution
-77.0102315,38.82248,Wingate,,4660 Martin Luther King Jr. Ave SW,Direct Distributions
-76.95648829,38.8219967,Oxon Hill Food Pantry,,4915 Saint Barnabas Rd,Shopping
-77.1161465,38.8217719,James K Polk Elementary,,5000 Polk Ave,Direct Distributions
-77.00537859,38.8217026,Bald Eagle Recreation Center,,100 Joliet St SW 20020,Direct Distributions
-76.968832,38.8216957,The Hope Center,,4915 Wheeler Rd,Shopping & Direct Distribution
-76.9958114,38.8211648,Park Forest,,707 Audrey Lane,Direct Distributions
-77.18679099,38.82056,Poe Middle School,,7000 Cindy Lane,Direct Distributions
-77.1654968,38.8197099,Weyanoke Elementary School,,6520 Braddok Rd.,Direct Distributions
-77.06239369,38.8172372,Friends of Guest House Inc.,,1 East Luray Avenue,Shopping
-76.9902006,38.8170839,Glassmanor Community Center,,1101 Macy Ave,Direct Distributions
-76.99043299,38.81698,Glassmanor Elementary,,1011 Marcy Avenue,Direct Distributions
-77.07251269,38.8153992,Alive,,2723 King Street,Shopping & Direct Distribution
-76.7527456,38.8146175,Marlboro Churches Food Bank,,14515 Church Street,Shopping
-76.937444,38.8141387,Temple Hills Community Center,,5300 Temple Hill Rd,Direct Distributions
-77.15025819,38.8129947,Wesley Housing Development Corporation of Northern VA.,,5128  Lincoln  Avenue,Shopping & Direct Distribution
-77.631224,38.810505,Haymarket Regional Food Pantry,,14740 Washington St.,Shopping
-76.837404,38.811419,Marwood Senior Apartments,,5605 S. Marwood Blvd.,Direct Distributions
-77.041679,38.811084,Ladrey Food Pantry,Tursday  Ministry,300 Wythe Street,Shopping & Direct Distribution
-77.2627588,38.8098242,St. Stephen's UMC,,9203 Braddock Rd,Shopping & Direct Distribution
-77.0524297,38.8094769,Dunbar Alexandria-Olympic Boys & Girls Club,,401 North Payne Street,Direct Distributions
-77.1302556,38.8089024,Community Lodgings at Brent Place,,375 South Reynolds Street,Direct Distributions
-77.04194409,38.8085367,Ruby Tucker Family Center,,322 Tancil Court,Direct Distributions
-77.51348419,38.8067669,Living Faith Church,,10266 Battleview Parkway,Shopping
-76.95787789,38.806878,Trinity Terrace,,6001 Fisher Road,Direct Distributions
-77.04746049,38.8062712,Christ Church Lazarus Ministry,,118 N. Washington St,Shopping
-77.0549708,38.805112,Christ House,,131 South West Street,Shopping
-77.51775969,38.803441,Greater Way of Life Ministries,,10625 Gaskins Way,Shopping
-77.18329899,38.8043488,Springfield Christian Church,,5407 Backlick Rd,Shopping
-76.93234399,38.804315,Mercy House/ Bread of Life Food Pantry,,4402 Cedell Place,Shopping
-77.29311819,38.803822,CNP- Maritza Lopez- Brizuela,,5426 Longboat Ct,Shopping
-77.15758739,38.8021203,Bren Mar Park Elementary,,6344 Beryl Rd,Direct Distributions
-76.93538099,38.799816,Oxon Hill Church of Christ,,4201 Brinkley Road,Shopping
-76.9819,38.798071,St. Paul UMC,,6634 St. Barnabas Road,Shopping
-77.15438269,38.7970883,Action Chapel Virginia,,6315 Bren Mar Dr.,Shopping
-77.165396,38.796512,Agape Adult Day Healthcare Center,,5701-A General Washington Dr.,Shopping
-76.97930449,38.7965225,Vision of Nations,,6801 Bock Rd #251,Shopping
-76.98938499,38.794829,At Home Away from Home,,1100 Dumfries Street,Shopping
-77.5221834,38.7932269,Coverstone Apartments,,10934 Coverstone Dr,Direct Distributions
-77.44202029,38.7890574,Mision Cristiana Agape,,8025 Rugby Road,Shopping
